uid,comp_key,fom_ref,rank_mean,rank_entropy
2AlClSe-1,Al1-Cl1-Se1,2205.94329836329,180.4265,0.8044722350108127
1SnSb2Se4-1,Sb2-Se4-Sn1,2953.387784447236,181.7725,0.8535802286651979
2ZrSe3-1,Se3-Zr1,2083.874582597734,183.062,0.8564870655712059
2BrHfN-1,Br1-Hf1-N1,2204.1433923776117,183.1905,0.8055562195737959
2ClInSe-1,Cl1-In1-Se1,2195.519903109872,183.84,0.8082810997878122
1MgBr2-1,Br2-Mg1,2193.025789691328,185.2665,0.8089573484261027
2FISr-1,F1-I1-Sr1,2182.7305011340995,186.4445,0.8108552550857787
2ITaO2-1,I1-O2-Ta1,2186.8891767247696,186.9655,0.8101873025408004
2GaO-1,Ga1-O1,2178.010148029758,188.2885,0.8131182639068267
2BrInSe-1,Br1-In1-Se1,2181.4336763762126,188.4065,0.8095886320146845
1GaIrI2S2-1,Ga1-I2-Ir1-S2,2166.8268065224015,189.811,0.8393836072976222
2BrTaO2-1,Br1-O2-Ta1,2171.393729572554,190.9365,0.8106290077841669
1BrISCd2-1,Br1-Cd2-I1-S1,2151.3154529018598,192.9375,0.8085259709216833
2ClTaO2-1,Cl1-O2-Ta1,2152.493916024501,193.2575,0.8072016260807517
